1;2;3;4;6;7;8;9;10;11;12;13;14
NOT;2010;12/04/2010;01:00;12/04/2010;15:00;NOT;0;0;NOT;*;*;*
WSE;2010;28/05/2010;23:00;29/05/2010;17:00;272º, -81º;0;2;NOT;7.713;13.273;128.68º
NES;2010;21/06/2010;06:00;22/06/2010;14:00;95º, 18º;1;1;(+BA +BT);3.527;7.398;147.54º
ESW;2010;04/08/2010;09:00;05/08/2010;00:00;10º, -59º;2;2;(+BA -BT);12.730;14.349;108.83º
WNE;2010;31/10/2010;05:00;01/11/2010;21:00;308º, 56º;1;1;(-BA -BT);4.942;10.718;131.48
NES;2010;28/12/2010;06:00;28/12/2010;12:00;NOT;0;0;NOT;;;
NES;2011;24/01/2011;10:00;25/01/2011;08:00;91º, -19º;1;2;(-BA +BT);14.580;16.123;169.02º
NES;2011;04/02/2011;13:00;04/02/2011;20:00;78º, -14º;1;2;(-BA -BT);3.454;8.349;128.72º
NOT;2011;18/02/2011;18:00;20/02/2011;08:00;NOT;0;0;NOT;*;*;*
WNE;2011;29/03/2011;23:00;31/03/2011;04:00;112º, 49º;1;1;(+BA +BT);4.323;10.065;164.97º
SWN;2011;28/05/2011;06:00;28/05/2011;20:00;287º, -14º;2;2;(-BA +BT);8.000;12.150;114.01º
NES;2011;05/06/2011;03:00;05/06/2011;17:00;127º, -26º;1;2;(+BA +BT);3.278;8.350;158.41º
NES;2011;17/06/2011;08:00;17/06/2011;14:00;112º, 4º;1;1;(+BA +BT);2.065;4.636;118.90º
NWS;2011;07/07/2011;06:00;07/07/2011;12:00;263º, -2º;1;2;(-BA +BT);3.548;4.636;110.07º
SWN;2011;05/08/2011;02:00;05/08/2011;08:00;268º, -10º;2;2;(-BA -BT);11.365;14.908;140.78º
NOT;2011;06/08/2011;22:00;07/08/2011;15:00;NOT;0;0;NOT;*;*;*
NOT;2011;08/09/2011;20:00;09/09/2011;04:00;NOT;0;0;NOT;*;*;*
SWN;2011;10/09/2011;03:00;10/09/2011;11:00;234º, -24º;2;2;(-BA -BT);4.278;9.754;139.73º
NOT;2011;17/09/2011;14:00;18/09/2011;06:00;NOT;0;0;NOT;*;*;*
NOT;2011;18/09/2011;12:00;18/09/2011;21:00;NOT;0;0;NOT;*;*;*
SWN;2011;22/09/2011;22:00;23/09/2011;05:00;270º, -21º;2;2;(-BA -BT);3.663;8.761;128.10º
NOT;2011;05/10/2011;10:00;05/10/2011;03:00;NOT;0;0;NOT;*;*;*
NOT;2011;06/10/2011;12:00;06/10/2011;23:00;NOT;0;0;NOT;*;*;*
NWS;2011;22/10/2011;21:00;23/10/2011;14:00;319º, -17º;2;1;(-BA -BT);2.273;5.288;150.04º
ENW;2011;25/10/2011;01:00;25/10/2011;16:00;68º, 74º;0;1;NOT;3.637;9.019;112.36º
WSE;2011;02/11/2011;02:00;02/11/2011;18:00;68º, -49º;2;2;(-BA -BT);3.545;7.326;94.38º
NOT;2011;07/11/2011;17:00;07/11/2011;23:00;NOT;0;0;NOT;*;*;*
NWS;2011;14/11/2011;19:00;15/11/2011;04:00;294º, 8º;0;1;(+BA +BT);2.868;6.566;139.29º
NES;2011;29/11/2011;01:00;29/11/2011;08:00;78º , 0º;1;1;(-BA -BT);2.195;5.695;128.41
NES;2011;02/12/2011;16:00;02/12/2011;00:00;86º, -28º;2;2;(-BA +BT);2.911;6.454;132.73º
NOT;2011;25/12/2011;02:00;26/12/2011;17:00;NOT;0;0;NOT;*;*;*
NOT;2011;29/12/2011;22:00;30/12/2011;08:00;NOT;0;0;NOT;*;*;*
NOT;2012;21/01/2012;06:00;22/01/2012;08:00;NOT;0;0;NOT;*;*;*
SWN;2012;22/01/2012;23:00;23/01/2012;07:00;291º, -7º;1;2;(+BA +BT);3.301;8.422;125.85º
SWN;2012;15/02/2012;13:00;16/02/2012;06:00;281º, 29º;1;1;(-BA +BT);7.567;11.297;102.00º
NOT;2012;16/02/2012;05:00;18/02/2012;11:00;NOT;0;0;NOT;*;*;*
NES;2012;27/02/2012;19:00;28/02/2012;16:00;28º, 29º;1;1;(+BA +BT);3.640;7.951;140.10º
NES;2012;29/02/2012;21:00;01/03/2012;08:00;109º, -10º;2;2;(+BA -BT);2.713;4.867;129.63º
NOT;2012;03/03/2012;20:00;04/03/2012;06:00;NOT;0;0;NOT;*;*;*
NWS;2012;06/03/2012;09:00;06/03/2012;16:00;281º, -37º;1;2;(+BA -BT);5.571;10.893;92.97º
NES;2012;09/03/2012;03:00;10/03/2012;06:00;NOT;0;0;NOT;*;*;*
ESW;2012;15/03/2012;16:00;16/03/2012;00:00;315º, -73º;2;2;(-BA +BT);5.650;11.412;98.72º
WSE;2012;23/04/2012;17:00;24/04/2012;06:00;278º, -68º;0;1;(+BA +BT);4.832;5.999;113.72º
ENW;2012;17/05/2012;16:00;18/05/2012;00:00;246º, 67º;1;1;(-BA -BT);9.277;14.120;118.06º
NES;2012;16/06/2012;23:00;17/06/2016;12:00;97º, -42º;1;2;(-BA -BT);5.657;11.514;90.41º
NWS;2012;05/07/2012;20:00;06/07/2012;02:00;265º, 10º;2;2;(+BA -BT);11.494;14.954;116.19º
WSE;2012;09/07/2012;00:00;09/07/2012;14:00;314º, -45º;1;2;(-BA -BT);4.893;10.793;156.90º
NOT;2012;15/07/2012;06:00;15/07/2012;05:00;NOT;0;0;NOT;*;*;*
NOT;2012;01/09/2012;07:00;03/09/2012;10:00;NOT;0;0;NOT;*;*;*
ENW;2012;05/09/2012;06:00;05/09/2012;18:00;210º, 47º;2;2;(+BA +BT);3.600;8.281;100.99º
NWS;2012;06/09/2012;02:00;06/09/2012;17:00;266º, 10º;1;1;(+BA +BT);2.644;6.961;91.67º
SEN;2012;01/10/2012;00:00;01/10/2012;14:00;74º, 26º;2;1;(+BA +BT);9.737;14.126;121.42º
NOT;2012;02/10/2012;22:00;03/10/2012;06:00;NOT;0;0;NOT;*;*;*
ESW;2012;08/10/2012;18:00;09/10/2012;12:00;72º, -72º;0;1;(+BA +BT);6.433;12.302;150.45º
SEN;2012;13/10/2012;04:00;13/10/2012;13:00;97º, -31º;2;2;(-BA +BT);7.544;12.506;102.71º
ESW;2012;01/11/2012;02:00;02/11/2012;03:00;219º, -84º;0;1;(+BA +BT);23.924;17.628;161.22º
